url,label,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A12,A14,A13,A15,A17,A25,A18,A19,A21,A23,A22,A24
123rf.com,0,17,0,0,1,0,0,0,1,6,650702257079.674,4,46,0,0,0,1,1,0,0.014925373134328358,0.0,0.058823529411764705,0.0
3ds.com,0,15,0,0,1,0,0,0,1,6,953649181344.766,4,55,0,0,0,1,0,1,0.07142857142857142,0.0,0.0,0.0
4shared.com,0,19,0,0,1,0,0,0,1,6,655205152491.094,4,3136,0,0,0,1,0,0,0.04081632653061224,0.04081632653061224,0.0,0.0
abcnews.go.com,0,22,0,0,2,0,0,0,1,7,876317602268.712,4,57,0,0,0,1,1,0,0.03806228373702422,0.0034602076124567475,0.023255813953488372,0.0
about.com,0,17,0,0,1,0,0,0,1,5,839424824059.008,2,295,2,295,0,1,1,1,0.03333333333333333,0.0,0.08333333333333333,0.0
abril.com.br,0,20,0,0,2,0,0,0,1,5,960057213657.621,1,150,0,0,0,1,0,0,0.061224489795918366,0.0,0.043478260869565216,0.0
academia.edu,0,20,0,0,1,0,0,0,1,7,834345217642.415,4,56,0,0,1,1,1,0,0.053156146179401995,0.0033222591362126247,0.0,0.0
accounts.google.com,0,27,0,0,2,0,0,0,1,9,886343622260.738,1,249,1,93,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
addtoany.com,0,20,0,0,1,0,0,0,1,6,618659156112.5961,2,296,2,296,0,1,1,1,0.08450704225352113,0.0,0.0,0.0
adobe.com,0,17,0,0,1,0,0,0,1,8,1228052033893.927,2,13,2,14,0,1,1,0,0.1111111111111111,0.0,0.0,0.0
ads.google.com,0,22,0,0,2,0,0,0,1,8,886343640210.9099,1,101,1,16,0,1,0,0,0.057803468208092484,0.06358381502890173,0.03225806451612903,0.0
adssettings.google.com,0,30,0,0,2,0,0,0,1,7,886343649321.146,1,279,1,285,0,1,1,0,0.18181818181818182,0.0,0.0,0.0
afternic.com,0,20,0,0,1,0,0,0,1,5,839338456679.883,1,3593,0,0,0,1,0,1,0.10256410256410256,0.02564102564102564,0.1111111111111111,0.0
airbnb.com,0,18,0,0,1,0,0,0,1,8,542718322703.298,2,294,0,0,0,1,1,0,0.07692307692307693,0.38461538461538464,0.0,0.0
aliexpress.com,0,22,0,0,1,0,0,0,1,7,615428282826.0911,2,595,0,0,0,0,0,0,0.0,0.0,0.0,0.0
amazon.ca,0,17,0,0,1,0,0,0,1,7,791250614825.3191,3,895,0,0,0,1,0,0,0.5,0.0,0.0,0.0
amazon.co.jp,0,20,0,0,2,0,0,0,1,7,722802898806.8219,3,895,0,0,0,1,0,0,0.5,0.0,0.0,0.0
amazon.co.uk,0,20,0,0,2,0,0,0,1,8,921782104322.0089,3,36,0,0,0,1,0,0,0.5,0.0,0.0,0.0
amazon.com,0,18,0,0,1,0,0,0,1,9,976973712312.2161,3,814,0,0,0,1,0,0,0.5,0.0,0.0,0.0
amazon.fr,0,17,0,0,1,0,0,0,1,7,552302597530.062,3,894,0,0,0,1,0,0,0.5,0.0,0.0,0.0
amazon.it,0,17,0,0,1,0,0,0,1,7,810498934793.342,3,893,0,0,0,1,0,0,0.5,0.0,0.0,0.0
ameblo.jp,0,17,0,0,1,0,0,0,1,7,669494173713.714,2,22,0,0,1,1,1,0,0.047619047619047616,0.006802721088435374,0.1111111111111111,0.0
amzn.to,0,15,0,0,1,0,0,0,1,8,492258542720.202,2,634,0,0,0,1,0,0,0.5,0.0,0.0,0.0
android.com,0,19,0,0,1,0,0,0,1,7,893601388462.52,1,271,1,294,1,1,1,0,0.08433734939759036,0.012048192771084338,0.06666666666666667,0.0
answers.com,0,19,0,0,1,0,0,0,1,6,928075014662.627,4,3592,0,0,1,1,0,1,0.14354066985645933,0.13875598086124402,0.0,0.0
aol.com,0,15,0,0,1,0,0,0,1,7,956846202764.593,2,1272,0,0,0,1,0,0,0.01910828025477707,0.0021231422505307855,0.03125,0.0
apache.org,0,18,0,0,1,0,0,0,1,7,963067016378.08,1,1786,1,1786,0,1,1,1,0.040697674418604654,0.20930232558139536,0.04081632653061224,0.0
