url,label,A1,A2,A3,A4,A5,A6,A7,A8,A17,A25,A18,A19,A21,A23,A22,A24
123rf.com,0,17,0,0,1,0,0,0,1,0,1,1,0,0.014925373134328358,0.0,0.058823529411764705,0.0
20minutos.es,0,20,0,0,1,0,0,0,1,1,1,1,1,0.05335628227194492,0.0051635111876075735,0.022222222222222223,0.0
3ds.com,0,15,0,0,1,0,0,0,1,0,1,0,1,0.07142857142857142,0.0,0.0,0.0
4shared.com,0,19,0,0,1,0,0,0,1,0,1,0,0,0.04081632653061224,0.04081632653061224,0.0,0.0
abc.es,0,14,0,0,1,0,0,0,1,0,1,0,0,0.00804289544235925,0.010723860589812333,0.0,0.0
abc.net.au,0,18,0,0,2,0,0,0,1,1,1,0,1,0.025210084033613446,0.01680672268907563,1.0,0.0
abcnews.go.com,0,22,0,0,2,0,0,0,1,0,1,1,0,0.037800687285223365,0.006872852233676976,0.023255813953488372,0.0
about.com,0,17,0,0,1,0,0,0,1,0,1,1,1,0.03333333333333333,0.0,0.08333333333333333,0.0
aboutads.info,0,21,0,0,1,0,0,0,1,0,1,1,0,0.06451612903225806,0.1935483870967742,0.25,0.0
abril.com.br,0,20,0,0,2,0,0,0,1,0,1,0,0,0.061224489795918366,0.0,0.043478260869565216,0.0
academia.edu,0,20,0,0,1,0,0,0,1,1,1,1,0,0.053156146179401995,0.0033222591362126247,0.0,0.0
accounts.google.com,0,27,0,0,2,0,0,0,1,0,1,1,0,0.16666666666666666,0.0,0.3333333333333333,0.0
addtoany.com,0,20,0,0,1,0,0,0,1,0,1,1,1,0.08450704225352113,0.0,0.0,0.0
adobe.com,0,17,0,0,1,0,0,0,1,0,1,1,0,0.1111111111111111,0.0,0.0,0.0
ads.google.com,0,22,0,0,2,0,0,0,1,0,1,0,0,0.057803468208092484,0.06358381502890173,0.03225806451612903,0.0
adssettings.google.com,0,30,0,0,2,0,0,0,1,0,1,1,0,0.18181818181818182,0.0,0.0,0.0
afternic.com,0,20,0,0,1,0,0,0,1,0,1,0,1,0.10256410256410256,0.02564102564102564,0.1111111111111111,0.0
airbnb.com,0,18,0,0,1,0,0,0,1,0,1,1,0,0.07692307692307693,0.38461538461538464,0.0,0.0
aliexpress.com,0,22,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
amazon.ca,0,17,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.co.jp,0,20,0,0,2,0,0,0,1,0,1,1,0,0.043859649122807015,0.02631578947368421,0.0,0.0
amazon.co.uk,0,20,0,0,2,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.com,0,18,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.de,0,17,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.es,0,17,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.fr,0,17,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
amazon.it,0,17,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
ameblo.jp,0,17,0,0,1,0,0,0,1,1,1,1,0,0.047619047619047616,0.006802721088435374,0.1111111111111111,0.0
amzn.to,0,15,0,0,1,0,0,0,1,0,1,0,0,0.5,0.0,0.0,0.0
android.com,0,19,0,0,1,0,0,0,1,1,1,1,0,0.08433734939759036,0.012048192771084338,0.06666666666666667,0.0
answers.com,0,19,0,0,1,0,0,0,1,1,1,0,1,0.14354066985645933,0.11483253588516747,0.0,0.0
aol.com,0,15,0,0,1,0,0,0,1,0,1,0,0,0.018867924528301886,0.0020964360587002098,0.03125,0.0
apache.org,0,18,0,0,1,0,0,0,1,0,1,1,1,0.040697674418604654,0.20930232558139536,0.04081632653061224,0.0
apple.com,0,17,0,0,1,0,0,0,1,0,1,1,0,0.03305785123966942,0.0,0.02702702702702703,0.0
archive.org,0,19,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0
aruba.it,0,16,0,0,1,0,0,0,1,1,1,1,0,0.020833333333333332,0.05654761904761905,0.02564102564102564,0.0
